,T_a,RH,p_a,v_a,SnowHeight,SW_global,LW_in
2020-12-06 13:30:00,2.219023,42.05188,67.9666,4.983346,104.9,417.4577,275.8943
2020-12-06 14:00:00,2.243109,40.0433,67.9631,4.046248,105.1,317.5403,280.3447
2020-12-06 14:30:00,2.29351,38.38596,67.95954,3.508879,104.7,206.4749,272.7082
2020-12-06 15:00:00,2.373026,37.19715,67.96534,3.650773,104.7,178.2721,278.2268
2020-12-06 15:30:00,2.637758,35.06261,67.94694,3.545301,104.7,160.8813,262.8441
2020-12-06 16:00:00,2.698975,33.75645,67.94849,3.561358,104.7,156.1109,264.3228
2020-12-06 16:30:00,2.864421,32.7968,67.94579,2.919444,104.6,110.7741,250.7616
2020-12-06 17:00:00,2.519135,32.58949,67.95333,2.603844,104.6,21.47295,262.583
2020-12-06 17:30:00,2.23277,32.35997,67.93822,2.006665,104.6,-0.2177045,244.6906
2020-12-06 18:00:00,1.606783,33.15363,67.94785,1.000315,104.5,-4.337438,237.5928
2020-12-06 18:30:00,1.746356,33.11551,67.97186,1.142222,104.4,-3.417467,230.4082
2020-12-06 19:00:00,1.005424,35.23507,67.99466,0.4425586,104.5,-3.744707,226.166
2020-12-06 19:30:00,0.4799013,37.20514,68.01974,0.4985475,104.5,-2.440642,216.5793
2020-12-06 20:00:00,0.09344086,37.78294,68.04405,0.5958147,104.5,-1.976613,216.0791
2020-12-06 20:30:00,-0.08022862,37.08269,68.08086,0.4569371,104.6,-1.780068,216.6673
2020-12-06 21:00:00,-0.6756187,37.52404,68.10252,0.7567421,104.3,-2.353084,215.5954
2020-12-06 21:30:00,-0.6364434,36.67829,68.14959,0.7685495,104.6,-0.2000791,232.6751
2020-12-06 22:00:00,-1.055295,37.5848,68.18156,0.6663413,104.5,-0.9377273,246.307
2020-12-06 22:30:00,-0.9607253,37.86927,68.20271,0.5393397,104.5,0.04607362,258.5511
2020-12-06 23:00:00,-1.001246,38.24967,68.21232,0.6783952,104.5,-0.4482753,259.4571
2020-12-06 23:30:00,-1.176552,40.19764,68.20475,0.5844439,104.6,-0.8584284,256.6512
2020-12-07 00:00:00,-0.9628482,39.83144,68.18606,0.428857,104.5,-0.06814002,260.1709
2020-12-07 00:30:00,-2.007539,41.88572,68.18594,0.7169651,104.5,-1.200978,264.9341
2020-12-07 01:00:00,-2.17637,43.23418,68.17068,0.4918495,104.5,-0.721283,262.7318
2020-12-07 01:30:00,-2.699749,43.92148,68.1652,0.6574265,104.4,-1.355969,259.8269
2020-12-07 02:00:00,-2.980294,45.21918,68.15791,0.431404,104.5,-0.9341316,258.9509
2020-12-07 02:30:00,-3.207278,45.71021,68.15164,0.4686132,104.5,-0.7306557,259.3394
